a-bomb,bom nguyên tử
grandee,nhà quý tộc (ở tây-ban-nha và bồ-ddào-nha)
grandfather,ông
grandmamma,(thân mật) bà
grandmother,bà
grandmotherly,như bà đối với cháu; quá nuông chiều
grandpa,nhuấy &
grandpapa,(thân mật) ông
grandparents,ông bà (nội ngoại)
granger,người quản lý ấp trại
graniferous,có hạt; sinh hạt
graniform,hình hạt
granite,(khoáng chất) đá granit
granitic,(thuộc) granit
granivorous,ăn hạt
grannie,(thân mật) bà
granny,(thân mật) bà
grant-in-aid,tiền trợ cấp
grantee,người được ban (cái gì)
grantor,người ban cho
granularity,tính chất như hột
granulation,sự nghiền thành hột nhỏ
granule,hột nhỏ
grape-cure,(y học) phép chữa bệnh bằng nho
grape-fruit,(thực vật học) cây bưởi chùm
grape-house,nhà kính trồng nho
grape-juice,nước nho
grape-scissors,kéo tỉa nho
grape-stone,hột nho
grape-vine,cây nho
grapery,nhà kính trồng nho
graph,đồ thị
graphically,bằng đồ thị
graphite,grafit
graphitic,(thuộc) grafit
graphologist,thầy tướng chữ
graphology,thuật xem tướng chữ
grass-covered,có cỏ mọc
grass-cutter,người cắt cỏ
grass-cutting,sự cắt cỏ
grass-feeding,ăn cỏ
grass-green,xanh màu cỏ
grass-grown,có trồng cỏ
grass-widow,người đàn bà vắng chồng
grass-widower,người đàn ông vắng vợ
grass-work,(ngành mỏ) việc làm trên mặt đất
grasshopper,(động vật học) châu chấu
grassless,không có cỏ
grassroots,(thông tục) những người dân thường
grassy-green,xanh màu cỏ
grate-bar,(kỹ thuật) ghi lò
gratefulness,sự biết ơn
grater,bàn xát; bàn mài
gratuity,tiền thưởng (khi) về hưu
gratulatory,chúc mừng
grave-clothes,vải liệm
grave-digging,việc đào huyệt
gravel-blind,gần như đui mù
gravel-path,đường rải sỏi
gravimeter,(vật lý) cái đo trọng lực
gravimetry,(vật lý) khoa trọng trường
gravure,thuật khắc ảnh trên bản kẽm
gravy-boat,bát đựng nước xốt
grazier,người chuyên nuôi trâu bò để bán
graziery,nghề chăn nuôi trâu bò để bán
grease-channel,(kỹ thuật) rãnh tra dầu mỡ
grease-gun,ống bơm mỡ vào máy
grease-paint,(sân khấu) phấn mỡ (để hoá trang)
grease-proof,không thấm mỡ
greaser,người tra mỡ (vào máy)
great-grandchild,chắt
great-granddaughter,chắt gái
great-grandfather,cụ ông
great-grandmother,cụ bà
great-grandson,chắt trai
great-heartedness,lòng hào hiệp; tính đại lượng
greatly,rất lắm
greatness,sự to lớn
grebe,(động vật học) chim lặn
grecism,văn hoá hy-lạp; tinh thần hy-lạp; tư tưởng hy-lạp
grecize,hy-lạp hoá
greed,tính tham lam
greek,(thuộc) hy-lạp
green-blind,(y học) mắc chứng mù màu lục
green-blindness,(y học) chứng mù màu lục
green-book,(ngoại giao) sách xanh
green-eyed,ghen
green-peak,(động vật học) chim gõ kiến
green-room,phòng nghỉ (của diễn viên ở các rạp hát)
greenery,cây cỏ
greenfinch,(động vật học) chim sẻ lục
greengage,(thực vật học) mận lục
greengrocer,người bán rau quả
greengrocery,nghề buôn bán rau quả
greening,(thực vật học) táo lục
greenish,hơi lục
greenness,màu lục
greensick,(y học) mắc bệnh xanh lướt
greensickness,(y học) bệnh xanh lướt
greenstone,pocfia lục
greenstuff,rau xanh
greenwood,rừng xanh
greeny,hơi lục
greenyard,bãi rào nhốt súc vật lạc
gremlin,quỷ gây tai nạn máy bay
grenade,(quân sự) lựu đạn
grenadier,(quân sự) lính ném lựu đạn
grey-hen,gà gô mái
greycing,(thông tục) sự đi săn bằng chó
greyhound,chó săn thỏ
greylag,(từ lóng) ngỗng xám (một loại ngỗng trời)
greyness,màu xám
grid,hệ thống đường dây (điện phân bố trong một khu vực)
griddle,vỉ (nướng bánh)
gridiron,vỉ (nướng chả)
griff,người âu mới đến ở ân-ddộ
griffin,quái vật sư tử đầu chim ((cũng) gryphon)
griffon,quái vật sư tử đầu chim ((cũng) griffin)
grig,cá chình con; lươn con
grillage,(kiến trúc) đài cọc
grilled,có lưới sắt
grimacer,người hay nhăn nhó
grimacier,người hay nhăn nhó
grimalkin,mèo cái già
grindery,đồ nghề thợ giày
grip-brake,phanh tay
grip-vice,(kỹ thuật) cái êtô
grippy,(thông tục) bị cúm
gripsack,túi du lịch
griseous,xanh nhạt; xám
griskin,thịt thăn lợn
grist-mill,cối xay bột
gristle,xương sụn
grittiness,tình trạng có sạn
gritty,có sạn
grizzled,hoa râm (tóc)
groaning,rên rỉ
groats,gạo lứt ((thường) yến mạch)
grocery,việc buôn bán tạp phẩm
grog,grôc (rượu nặng pha nước)
grog-blossom,mũi đỏ (vì uống nhiều rượu)
grog-shop,quán bán grôc
groggery,quán bán grôc
grogginess,tình trạng say lảo đảo
groggy,say lảo đảo
groin,háng
groomsman,phù rể
groper,(động vật học) cá mú
grosbeak,(động vật học) chim mỏ to (họ chim sẻ)
grotto,hang động
grottoes,hang động
ground-bait,mồi câu chìm (vứt xuống đáy hồ...)
ground-colour,màu nền (trên một bức tranh)
ground-fish,cá tầng đáy
ground-fishing,sự câu chim
ground-hog,(động vật học) con macmôt mỹ
ground-ice,băng đáy
ground-nut,lạc
ground-squirrel,(động vật học) con sóc đất
ground-wire,(điện học) dây đất
grounding,sự mắc cạn (tàu thuỷ)
groundling,(động vật học) cá tầng đáy
groundwork,nền
grouper,(động vật học) cá mú
grouping,sự họp thành nhóm
grout,(kiến trúc) vữa lỏng (để trát kẽ hở ở tường)
grower,người trồng | cây lớn nhanh | cây mọc chậm
growler,người hay càu nhàu
groyne,đê biển
grub-axe,cuốc chim (để bới củ...)
gruel,cháo (cho người ốm); cháo suông
grumblingly,càu nhàu
grumbly,hay càu nhàu
grumpiness,tính hay gắt gỏng; tính cục cằn
grumpish,gắt gỏng; cục cằn
grumpy,gắt gỏng; cục cằn
grunt,tiếng kêu ủn ỉn | càu nhàu trả lời|- lẩm bẩm
grunter,con lợn
grunting-cow,(động vật học) bò rừng cái (tây tạng)
grunting-ox,(động vật học) bò rừng đực (tây tạng)
gruntingly,ủn ỉn (lợn)
gruyère,phó mát gruye
gryphon,quái vật sư tử đầu chim ((cũng) gryphon)
grysbok,(động vật học) linh dương xám (nam phi)
guaiac,(thực vật học) cây gaiac
guaiacum,(thực vật học) cây gaiac
guano,bón bằng phân chim
guard-rail,thành lan can (ở cầu thang)
guard-ship,tàu bảo vệ cảng
guardhouse,(quân sự) phòng nghỉ của lính gác
guardianship,sự bảo vệ; trách nhiệm bảo vệ
guardroom,(quân sự) phòng nghỉ của lính gác
guardsman,vệ binh
guava,(thực vật học) cây ổi
guddle,(ê-cốt) mò (cá); mò cá
gudgeon,(động vật học) cá đục (họ cá chép)
guerdon,(thơ ca) phần thưởng
guest-card,giấy đăng ký ở trọ (tại khách sạn)
guest-house,nhà trọ thượng hạng
gurnard,(động vật học) cá chào mào
gurnet,(động vật học) cá chào mào
gusher,giếng dầu phun
gustation,sự nếm; vị giác
gustatory,(thuộc) vị giác
guttate,(sinh vật học) lốm đốm
gutter-man,người bán rong hàng vặt
guttle,ăn uống tham lam
guttler,kẻ tham lam
guttural,(thuộc) yết hầu
guvnor,(từ lóng) cha; chú
guzzler,kẻ ăn tục; kẻ tham ăn tham uống
gybe,(hàng hải) trở (buồm)
gyle,thùng ủ bia
gym,(như) gymnasium
gymnosperm,(thực vật học) cây hạt trần
gynaeceum,(thực vật học) bộ nhuỵ (hoa)
gynaecological,(y học) (thuộc) phụ khoa
gynaecologist,thầy thuốc phụ khoa
gynaecology,(y học) phụ khoa
gynandrous,(thực vật học) hợp nhị nhuỵ
gyp,người hầu (ở trường đại học căm-brít)
gyps,thạch cao ((viết tắt) gyps)
gypsa,thạch cao ((viết tắt) gyps)
gypseous,giống thạch cao
gypsum,thạch cao ((viết tắt) gyps)
gypsy,dân gipxi (ở ân-ddộ)
gyre,(thơ ca) (như) gyration
gyro,(viết tắt) của gyroscope
gyro-compass,la bàn hồi chuyển
gyroscope,con quay hồi chuyển
gyroscopic,hồi chuyển
gyrose,(thực vật học) xoăn
gyve,(thơ ca) xiềng xích
h-hour,giờ quan trọng nhất
haporth,vật đáng giá nửa xu
haaf,khu vực đánh cá ở biển sâu
habanera,điệu nhảy habanera (ở cu-ba)
haberdasher,người bán đồ kim chỉ
haberdashery,đồ kim chỉ; cửa hàng bán đồ kim chỉ
habergeon,(sử học) áo giáp không tay
habile,(văn học) khéo léo
habiliment,(số nhiều) lễ phục
habilitate,xuất vốn để khai khác (mỏ...)
habilitation,sự xuất vốn để khai khác (mỏ...)
habitability,tính ở được
habitable,có thể ở được
habitableness,tính ở được
hachure,(hội họa) nét chải
hack-hammer,búa đập đá
hack-saw,(kỹ thuật) cái cưa kim loại
hack-work,công việc làm thuê; công việc viết văn thuê
hackberry,(thực vật học) cấy sếu
hackbut,(sử học) súng hoả mai
hackery,(anh-ân) xe bò
hacking,khan (ho) | chứng ho khan
hackle,bàn chải sợi lanh
hackmatack,(thông tục) cây thông rụng lá
hackney,ngựa thương (để cưỡi)
haddock,(động vật học) cá êfin (một loại cá tuyết)
haematic,(y học) thuốc về máu
haematin,(hoá học) hematin
haematite,(khoáng chất) hematit
haematuria,(y học) chứng đái ra máu
haemoglobin,hemoglobin
haemophilia,(y học) chứng ưa chảy máu
haemorrhoidectomy,(y học) thủ thuật cắt trĩ
haemorrhoids,(y học) bệnh trĩ
haemostasis,(y học) sự cầm máu
haemostat,(y học) kẹp (để) cầm máu
haemostatic,(y học) cầm máu
hafnium,(hoá học) hafini
hag,mụ phù thuỷ
hagfish,(động vật học) cá mút đá myxin ((cũng) hag)
haggish,(thuộc) mụ phù thuỷ; như mụ phù thuỷ
haggle,sự mặc cả
hagiographer,người viết tiểu sử các vị thánh
hagiographist,người viết tiểu sử các vị thánh
hagiography,tiểu sử các vị thánh
hagiolater,người thờ thánh
hagiolatry,sự thờ thánh
hagiology,truyện về các vị thánh
hagridden,bị ác mộng ám ảnh
haidresser,thợ cắt tóc; thợ làm đầu cho phụ nữ
hailstone,cục mưa đá
hailstorm,cơn dông mưa đá
hair-cut,sự cắt tóc
hair-do,kiểu tóc
hair-dye,thuốc nhuộm tóc
hair-line,dây thừng làm bằng tóc
hair-oil,dầu xức tóc
hair-powder,phấn xoa tóc
hair-slide,cái trâm (cài tóc)
hair-space,(ngành in) khoảng cách rất hẹp
hair-stroke,nét hất lên rất nhanh (chữ viết)
hair-trigger,cò súng rất nhạy (chỉ khẽ bấm là súng nổ ngay)
hairbrush,bàn chải tóc
hairclipper,máy xén lông
haircloth,vải tóc
hairpin,cái cặp tóc
hairspring,dây tóc (đồng hồ)
hake,(động vật học) cá meluc (một loại cá tuyết)
hakeem,(ân; a-rập) thầy thuốc
hakim,(ân; a-rập) quan toà
halation,quầng sáng (trên kính ảnh)
halberd,(sử học) kích (một thứ vũ khí xưa)
halberdier,(sử học) người sử dụng kích
halbert,(sử học) kích (một thứ vũ khí xưa)
half-blooder,học sinh nửa lưu trú (chỉ ở lại trường ăn bữa trưa)
half-boot,giày ống ngắn
half-bred,lai | ngựa lai
half-breed,người lai
half-caste,lai
half-cock,cò súng đã chốt
half-cocked,đã chốt cò (súng)
half-crown,đồng nửa curon
half-dollar,đồng nửa đô la
half-dozen,nửa tá
half-hearted,không thật tâm
half-heartedness,sự không thật tâm
half-hourly,nửa giờ một lần
half-length,bức tranh nửa người
half-life,(vật lý) chu kỳ nửa (phân) rã
half-line,nửa đường thẳng
half-mile,nửa dặm
half-pay,nửa lương | hưởng chế độ nửa lương
half-pound,nửa pao
half-round,nửa vòng tròn bán nguyệt
half-seas-over,(định ngữ) hơi chếnh choáng say
half-time,sự làm việc và ăn lương nửa ngày
half-title,đề sách ở bìa phụ
half-tone,(hội họa) độ trung gian
half-truth,bản tường thuật nửa sự thật
halfpennyworth,vật đáng giá nửa xu
halieutic,(thuộc) sự câu cá; (thuộc) sự đánh cá
halieutics,thuật câu cá; thuật đánh cá
halite,muỗi mổ
halitosis,(y học) hơi thở thối; chứng thối mồm
halleluiah,bài hát ca ngợi chúa
hallelujah,bài hát ca ngợi chúa
hallmark,dấu xác nhận tiêu chuẩn (của vàng bạc)
hallowmas,ngày lễ các thánh
hallucinate,gợi ảo giác
hallucination,ảo giác
hallucinatory,(thuộc) ảo giác; có tính chất ảo giác
hallucinosis,(y học) chứng loạn ảo
halogen,(hoá học) halogen
halogenation,(hoá học) sự halogen hoá
halogenous,(hoá học) (thuộc) halogen
halometer,cái đo muối
halometry,phép đo muối
halophyte,(thực vật học) cây chịu mặn
halve,chia đôi; chia đều (với một người nào)
hamamelidaceous,(thực vật học) (thuộc) họ sau sau
